# Publisher Forge passive staging gate
10010	FAIL	(Cookie No HttpOnly Flag)
10011	FAIL	(Cookie Without Secure Flag)
10015	WARN	(Incomplete or No Cache-control and Pragma HTTP Header Set)
10017	WARN	(Cross-Domain JavaScript Source File Inclusion)
10019	WARN	(Content-Type Header Missing)
10020	FAIL	(X-Frame-Options Header Scanner)
10021	FAIL	(X-Content-Type-Options Header Missing)
10023	FAIL	(Information Disclosure - Debug Error Messages)
10024	FAIL	(Information Disclosure - Sensitive Information in URL)
10025	FAIL	(Information Disclosure - Sensitive Information in Referrer)
10026	WARN	(HTTP Parameter Override)
10027	WARN	(Information Disclosure - Suspicious Comments)
10035	FAIL	(Strict-Transport-Security Header)
10038	FAIL	(Content Security Policy Header Not Set)
10040	FAIL	(Secure Pages Include Mixed Content)
10098	FAIL	(Cross-Domain Misconfiguration)
10202	WARN	(Absence of Anti-CSRF Tokens)
90022	FAIL	(Application Error Disclosure)
